trip_id,user_id,sex,age,date,station_code_origin,station_code_destination,duration_m
32244583,2651333,F,23,2024-01,GDL-028,GDL-249,8
32244582,167712,M,34,2024-01,TLQ-011,TLQ-006,2
32244581,3353251,F,24,2024-01,GDL-028,GDL-038,7
32244580,3353034,M,54,2024-01,GDL-028,GDL-038,7
32244579,225217,F,35,2024-01,TLQ-011,TLQ-006,2
32244578,71140,M,44,2024-01,GDL-208,GDL-141,8
32244577,44633,M,38,2024-01,GDL-015,ZPN-070,22
32244576,3353417,M,22,2024-01,GDL-028,GDL-038,7
32244575,2555207,M,25,2024-01,GDL-028,GDL-038,7
32244574,1514001,F,33,2024-01,GDL-107,GDL-071,18
32244573,1016061,M,39,2024-01,GDL-228,GDL-216,12
32244572,446531,M,33,2024-01,GDL-077,GDL-199,11
32244571,1722561,M,30,2024-01,ZPN-028,ZPN-024,4
32244570,434112,M,50,2024-01,GDL-050,GDL-195,22
32244569,2722335,M,19,2024-01,GDL-024,GDL-059,6
32244568,2237562,M,26,2024-01,GDL-106,GDL-203,10
32244567,1123747,M,24,2024-01,GDL-130,GDL-106,18
32244566,2721675,F,19,2024-01,GDL-049,GDL-096,11
32244565,1365020,M,33,2024-01,GDL-198,GDL-071,26
32244564,1104224,F,24,2024-01,GDL-130,GDL-036,9
32244563,442274,M,34,2024-01,GDL-240,GDL-220,6
32244562,77671,M,27,2024-01,ZPN-071,GDL-007,22
32244561,2523100,M,41,2024-01,GDL-132,GDL-132,25
32244560,365057,M,30,2024-01,ZPN-037,GDL-201,33
32244559,2430453,M,20,2024-01,GDL-052,GDL-076,5
32244558,143212,M,56,2024-01,GDL-045,GDL-028,9
32244557,1603753,M,28,2024-01,ZPN-070,ZPN-003,13
32244556,1562215,M,37,2024-01,GDL-003,GDL-019,7
32244554,1277163,M,38,2024-01,GDL-174,GDL-147,4
32244553,2061217,M,38,2024-01,ZPN-022,ZPN-008,8
32244552,2224271,M,23,2024-01,GDL-135,GDL-049,12
32244551,2710430,M,54,2024-01,GDL-037,GDL-009,10
32244550,2375742,F,54,2024-01,GDL-061,GDL-008,14
32244549,330641,M,60,2024-01,GDL-127,ZPN-073,21
32244548,1376020,M,34,2024-01,GDL-048,GDL-069,7
32244546,2360103,M,35,2024-01,GDL-225,TLQ-001,9
32244545,1214235,M,55,2024-01,GDL-195,GDL-009,32
32244544,2322546,M,25,2024-01,GDL-066,GDL-117,11
32244543,2760046,M,28,2024-01,GDL-073,GDL-035,5
32244541,50334,M,36,2024-01,GDL-112,GDL-087,6
32244540,276703,M,33,2024-01,GDL-022,GDL-052,7
32244539,2275171,M,27,2024-01,GDL-003,GDL-071,7
32244538,2437710,F,28,2024-01,GDL-024,GDL-039,14
32244537,1273146,M,35,2024-01,GDL-022,GDL-050,12
32244536,2736723,M,36,2024-01,GDL-048,GDL-071,4
32244534,1777074,M,33,2024-01,GDL-075,GDL-047,14
32244533,564157,M,25,2024-01,GDL-190,GDL-033,7
32244531,42612,M,42,2024-01,ZPN-051,ZPN-025,3
32244530,2361646,F,35,2024-01,GDL-258,GDL-185,9
